Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
53,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 09:00,(-),-17.882915°,25.821265°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
54,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 10:00,(-),-17.880617°,25.814198°,(-),<10 meters,0 km/h,7 Volt,32°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
55,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 11:00,(-),-17.881798°,25.809582°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
56,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 12:00,(-),-17.882465°,25.808498°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
57,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 13:00,(-),-17.882600°,25.808215°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
58,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 14:00,(-),-17.882765°,25.811615°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
59,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 15:00,(-),-17.877383°,25.816765°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
60,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 16:00,(-),-17.876533°,25.822717°,(-),<10 meters,0 km/h,7 Volt,38°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
61,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 17:00,(-),-17.877783°,25.826233°,(-),<10 meters,0 km/h,7 Volt,36°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
62,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 18:00,(-),-17.876282°,25.831215°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
63,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 19:00,(-),-17.879833°,25.838983°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
64,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 20:00,(-),-17.877232°,25.840748°,(-),<10 meters,0 km/h,7 Volt,28°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
65,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 21:00,(-),-17.875017°,25.839500°,(-),<10 meters,0 km/h,7 Volt,26°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
66,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 22:00,(-),-17.873148°,25.841417°,(-),<10 meters,0 km/h,7 Volt,24°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
67,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 23:00,(-),-17.870382°,25.839617°,(-),<10 meters,0 km/h,7 Volt,23°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
68,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 00:00,(-),-17.868950°,25.839167°,(-),<10 meters,0 km/h,7 Volt,22°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
69,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 01:00,(-),-17.866748°,25.836617°,(-),<10 meters,0 km/h,7 Volt,21°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
70,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 02:00,(-),-17.866098°,25.836448°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
71,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 03:00,(-),-17.863233°,25.837065°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
72,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 04:00,(-),-17.870533°,25.838217°,(-),<10 meters,0 km/h,7 Volt,20°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
73,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 05:00,(-),-17.872182°,25.837767°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
74,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 06:00,(-),-17.876032°,25.836215°,(-),<10 meters,0 km/h,7 Volt,19°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
75,Bull 8: 1315832,AWTIMCVAP243,IM-SAT Tag,(-),4/9/2021 07:00,(-),-17.876017°,25.835100°,(-),<10 meters,0 km/h,7 Volt,18°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
