"","ï..Time","Latitude","Longitude","doy","BulNum"
"2043","2019-05-09 13:00:32",-18.0330166666667,25.76815,129,"5"
"104","2019-05-09 15:00:32",-17.92065,25.8359666666667,129,"2"
"2082","2019-05-09 15:00:32",-17.9549666666667,25.8280166666667,129,"4"
"5351","2019-05-09 16:00:32",-18.1641333333333,26.0365666666667,129,"3"
"2086","2019-05-09 16:00:32",-17.8639833333333,25.79825,129,"6"
"527","2019-05-09 17:00:32",-18.27025,26.2565833333333,129,"1"
"2083","2019-05-09 17:00:32",-18.0216833333333,25.7744166666667,129,"5"
"108","2019-05-09 19:00:32",-17.9246833333333,25.8436166666667,129,"2"
"2122","2019-05-09 19:00:32",-17.9575833333333,25.8281333333333,129,"4"
"5311","2019-05-09 20:00:32",-18.1894333333333,26.0271666666667,129,"3"
"2126","2019-05-09 20:00:32",-17.83305,25.7653,129,"6"
"523","2019-05-09 21:00:32",-18.29455,26.2439666666667,129,"1"
"2123","2019-05-09 21:00:32",-18.0156,25.7781833333333,129,"5"
"112","2019-05-09 23:00:32",-17.9260333333333,25.84655,129,"2"
"2162","2019-05-09 23:00:32",-17.96255,25.8223833333333,129,"4"
"5271","2019-05-10 00:00:32",-18.1703333333333,25.9973333333333,130,"3"
"2166","2019-05-10 00:00:32",-17.8237833333333,25.7579666666667,130,"6"
"519","2019-05-10 01:00:32",-18.28555,26.2456333333333,130,"1"
"2163","2019-05-10 02:01:02",-18.0212,25.7786833333333,130,"5"
"2201","2019-05-10 03:00:32",-17.9604333333333,25.8168166666667,130,"4"
"116","2019-05-10 03:00:34",-17.928,25.8451333333333,130,"2"
"5231","2019-05-10 04:00:32",-18.1679666666667,25.99105,130,"3"
"2203","2019-05-10 04:00:32",-17.7993166666667,25.7680666666667,130,"6"
"515","2019-05-10 05:00:32",-18.2632333333333,26.2481666666667,130,"1"
"2202","2019-05-10 06:00:32",-18.02545,25.77865,130,"5"
"120","2019-05-10 07:00:32",-17.9272833333333,25.8446333333333,130,"2"
"2241","2019-05-10 07:00:32",-17.9577333333333,25.8036,130,"4"
"5191","2019-05-10 08:00:32",-18.1575666666667,25.9692833333333,130,"3"
"2243","2019-05-10 08:00:32",-17.8073,25.7710333333333,130,"6"
"511","2019-05-10 09:00:32",-18.2330166666667,26.26965,130,"1"
"2242","2019-05-10 10:00:32",-18.01685,25.7752666666667,130,"5"
"124","2019-05-10 11:00:32",-17.92485,25.8444833333333,130,"2"
"2281","2019-05-10 11:00:32",-17.94545,25.7790666666667,130,"4"
"5151","2019-05-10 12:00:32",-18.1554,25.96535,130,"3"
"2283","2019-05-10 12:00:32",-17.8085833333333,25.7728,130,"6"
"507","2019-05-10 13:00:32",-18.23145,26.2762833333333,130,"1"
"2282","2019-05-10 14:00:32",-18.0196833333333,25.7731166666667,130,"5"
"128","2019-05-10 15:00:32",-17.9204,25.8418,130,"2"
"2321","2019-05-10 15:00:32",-17.9491333333333,25.7918666666667,130,"4"
"5111","2019-05-10 16:00:32",-18.1557333333333,25.9713666666667,130,"3"
"2323","2019-05-10 16:00:32",-17.7989333333333,25.7799166666667,130,"6"
"503","2019-05-10 17:00:32",-18.2312166666667,26.2920333333333,130,"1"
"2322","2019-05-10 18:00:32",-18.0080833333333,25.8126333333333,130,"5"
"132","2019-05-10 19:00:32",-17.9228166666667,25.8400666666667,130,"2"
"2361","2019-05-10 19:00:32",-17.9567666666667,25.8147833333333,130,"4"
"5071","2019-05-10 20:00:32",-18.1915833333333,25.9788333333333,130,"3"
"2363","2019-05-10 20:00:32",-17.77345,25.7617,130,"6"
"499","2019-05-10 21:00:32",-18.2431333333333,26.2826166666667,130,"1"
"2362","2019-05-10 22:00:32",-18.0074833333333,25.81075,130,"5"
"136","2019-05-10 23:00:32",-17.9254333333333,25.8389,130,"2"
"2401","2019-05-10 23:00:32",-17.9626833333333,25.8177833333333,130,"4"
"5031","2019-05-11 00:00:32",-18.2234,25.9767666666667,131,"3"
"2403","2019-05-11 00:00:32",-17.7940166666667,25.7456333333333,131,"6"
"495","2019-05-11 01:00:32",-18.2709833333333,26.2824833333333,131,"1"
"2402","2019-05-11 02:00:51",-18.0076,25.7932333333333,131,"5"
"2441","2019-05-11 03:00:32",-17.9605166666667,25.8168333333333,131,"4"
"140","2019-05-11 03:01:01",-17.9198166666667,25.83375,131,"2"
"4991","2019-05-11 04:00:32",-18.2137666666667,25.9540166666667,131,"3"
"2443","2019-05-11 04:00:32",-17.8406333333333,25.7442,131,"6"
"491","2019-05-11 05:00:32",-18.2749833333333,26.28085,131,"1"
"2442","2019-05-11 06:02:27",-18.0171666666667,25.7936833333333,131,"5"
"144","2019-05-11 07:00:32",-17.9194333333333,25.8324333333333,131,"2"
"2481","2019-05-11 07:00:32",-17.9585666666667,25.8083833333333,131,"4"
"4951","2019-05-11 08:00:32",-18.1849,25.9473,131,"3"
"487","2019-05-11 09:00:32",-18.29105,26.2668333333333,131,"1"
"2482","2019-05-11 10:00:32",-18.0730833333333,25.7771166666667,131,"5"
"2483","2019-05-11 10:00:32",-17.8336166666667,25.7564333333333,131,"6"
"148","2019-05-11 11:00:32",-17.913,25.84115,131,"2"
"2521","2019-05-11 11:00:32",-17.95785,25.7924833333333,131,"4"
"4911","2019-05-11 12:00:32",-18.1699166666667,25.9787166666667,131,"3"
"483","2019-05-11 13:00:32",-18.2914333333333,26.26115,131,"1"
"2522","2019-05-11 14:00:32",-18.0746,25.7775833333333,131,"5"
"2523","2019-05-11 14:00:32",-17.85205,25.7844666666667,131,"6"
"152","2019-05-11 15:00:32",-17.9007,25.84075,131,"2"
"2561","2019-05-11 15:00:32",-17.9777666666667,25.7989333333333,131,"4"
"4871","2019-05-11 16:00:32",-18.1820333333333,25.9910333333333,131,"3"
"479","2019-05-11 17:00:32",-18.27835,26.2463333333333,131,"1"
"2562","2019-05-11 18:00:32",-18.0726833333333,25.76475,131,"5"
"2563","2019-05-11 18:00:32",-17.8452666666667,25.78425,131,"6"
"156","2019-05-11 19:00:32",-17.9238833333333,25.8448,131,"2"
"2601","2019-05-11 19:00:32",-17.9885,25.8133666666667,131,"4"
"4831","2019-05-11 20:00:32",-18.1969,26.0198833333333,131,"3"
"475","2019-05-11 21:00:32",-18.2803833333333,26.2364333333333,131,"1"
"2602","2019-05-11 22:00:32",-18.0928333333333,25.7600666666667,131,"5"
"2603","2019-05-11 22:00:32",-17.83315,25.7629166666667,131,"6"
