Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
56,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 11:00,(-),-18.039717°,25.785650°,(-),<10 meters,0 km/h,7 Volt,34°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
57,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 12:00,(-),-18.039898°,25.785715°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
58,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 13:00,(-),-18.039967°,25.785698°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
59,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 14:00,(-),-18.039200°,25.785715°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
60,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 15:00,(-),-18.038732°,25.785932°,(-),<10 meters,0 km/h,7 Volt,37°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
61,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 16:00,(-),-18.036482°,25.786000°,(-),<10 meters,0 km/h,7 Volt,36°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
62,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 17:00,(-),-18.028215°,25.786015°,(-),<10 meters,0 km/h,7 Volt,35°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
63,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 18:00,(-),-18.020832°,25.787283°,(-),<10 meters,0 km/h,7 Volt,33°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
64,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 19:00,(-),-18.012398°,25.785698°,(-),<10 meters,0 km/h,7 Volt,31°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
65,Bull 15: 1442066,AWTIMCVAP243,IM-SAT Tag,(-),3/9/2021 20:00,(-),-18.000467°,25.787567°,(-),<10 meters,0 km/h,7 Volt,29°C,(-),N,"[(-),(-),(-)]",N,(-),(-),(-),
