"","Time","Latitude","Longitude","doy","BulNum"
"727","2021-01-04 00:00:32",-18.0994,25.7089,4,"12"
"721","2021-01-04 01:00:32",-17.9794666666667,25.4587666666667,4,"6"
"723","2021-01-04 01:00:32",-17.9446666666667,25.8296166666667,4,"8"
"725","2021-01-04 02:00:32",-18.4649,25.7119,4,"9"
"726","2021-01-04 02:00:32",-18.1802,25.4158166666667,4,"10"
"762","2021-01-04 03:00:32",-17.8831666666667,25.6460833333333,4,"7"
"767","2021-01-04 04:00:32",-18.0806833333333,25.6868666666667,4,"12"
"76","2021-01-04 04:01:07",-18.35595,25.77195,4,"2"
"761","2021-01-04 05:00:32",-17.9875333333333,25.4473166666667,4,"6"
"763","2021-01-04 05:00:55",-17.95265,25.8074,4,"8"
"765","2021-01-04 06:00:32",-18.4629833333333,25.7071,4,"9"
"766","2021-01-04 06:00:32",-18.1801833333333,25.4158,4,"10"
"802","2021-01-04 07:00:32",-17.8832166666667,25.6460666666667,4,"7"
"807","2021-01-04 08:00:32",-18.0657833333333,25.69195,4,"12"
"80","2021-01-04 09:00:32",-18.3535333333333,25.7785,4,"2"
"801","2021-01-04 09:00:32",-17.9891,25.44375,4,"6"
"803","2021-01-04 09:00:32",-17.94335,25.7985333333333,4,"8"
"805","2021-01-04 10:00:32",-18.4619166666667,25.7025833333333,4,"9"
"806","2021-01-04 10:00:32",-18.1802,25.4158,4,"10"
"842","2021-01-04 11:00:32",-17.8832166666667,25.6460833333333,4,"7"
"847","2021-01-04 12:00:57",-18.0340333333333,25.7110166666667,4,"12"
"841","2021-01-04 13:00:32",-17.99,25.4431,4,"6"
"843","2021-01-04 13:00:32",-17.94,25.79295,4,"8"
"84","2021-01-04 13:00:33",-18.36375,25.7962166666667,4,"2"
"845","2021-01-04 14:00:32",-18.4609333333333,25.7016833333333,4,"9"
"846","2021-01-04 14:00:32",-18.1802,25.4158166666667,4,"10"
"882","2021-01-04 15:00:32",-17.8831833333333,25.6460666666667,4,"7"
"887","2021-01-04 16:00:32",-18.0369,25.7449666666667,4,"12"
"88","2021-01-04 17:00:32",-18.3591166666667,25.7940166666667,4,"2"
"881","2021-01-04 17:00:32",-17.9951833333333,25.44815,4,"6"
"883","2021-01-04 17:00:32",-17.9403333333333,25.8079333333333,4,"8"
"885","2021-01-04 18:00:32",-18.4666166666667,25.7232166666667,4,"9"
"886","2021-01-04 18:00:32",-18.1802,25.4158166666667,4,"10"
"922","2021-01-04 19:00:32",-17.8832333333333,25.6460666666667,4,"7"
"169","2021-01-04 19:01:10",-17.8832333333333,25.8343333333333,4,"14"
"927","2021-01-04 20:00:32",-18.0165666666667,25.7622333333333,4,"12"
"92","2021-01-04 21:00:32",-18.3513666666667,25.8179333333333,4,"2"
"923","2021-01-04 21:00:32",-17.9563166666667,25.82315,4,"8"
"921","2021-01-04 21:01:03",-17.99525,25.4584166666667,4,"6"
"925","2021-01-04 22:00:32",-18.4743333333333,25.7220333333333,4,"9"
"926","2021-01-04 22:00:32",-18.1801833333333,25.4158,4,"10"
"962","2021-01-04 23:00:32",-17.8832166666667,25.64605,4,"7"
"967","2021-01-05 00:00:32",-18.01015,25.7661166666667,5,"12"
"96","2021-01-05 01:00:32",-18.3550166666667,25.8051,5,"2"
"963","2021-01-05 01:00:32",-17.9514166666667,25.82115,5,"8"
"961","2021-01-05 01:00:33",-17.9942666666667,25.4572833333333,5,"6"
"965","2021-01-05 02:00:32",-18.45915,25.7066833333333,5,"9"
"966","2021-01-05 02:00:32",-18.1802,25.4158166666667,5,"10"
"1002","2021-01-05 03:00:32",-17.8832333333333,25.6461,5,"7"
"1007","2021-01-05 04:00:32",-18.008,25.7618833333333,5,"12"
"100","2021-01-05 05:00:32",-18.3477,25.7903,5,"2"
"1001","2021-01-05 05:00:32",-18.0002,25.4610333333333,5,"6"
"1003","2021-01-05 05:00:32",-17.9505333333333,25.815,5,"8"
"1005","2021-01-05 06:00:32",-18.4598,25.6921,5,"9"
"1006","2021-01-05 06:00:32",-18.1802,25.4157833333333,5,"10"
"1042","2021-01-05 07:00:32",-17.8832,25.6460666666667,5,"7"
"1047","2021-01-05 08:01:33",-17.9909833333333,25.7656166666667,5,"12"
"104","2021-01-05 09:00:32",-18.3467166666667,25.7804833333333,5,"2"
"1041","2021-01-05 09:00:32",-18.0003666666667,25.4658166666667,5,"6"
"1043","2021-01-05 09:00:32",-17.9462,25.7851666666667,5,"8"
"1045","2021-01-05 10:00:32",-18.4572166666667,25.6825666666667,5,"9"
"1046","2021-01-05 10:00:32",-18.1802,25.4158,5,"10"
"1082","2021-01-05 11:00:32",-17.8832333333333,25.6460666666667,5,"7"
"1087","2021-01-05 12:00:32",-17.977,25.7656333333333,5,"12"
"108","2021-01-05 13:00:32",-18.3421333333333,25.7794833333333,5,"2"
"1081","2021-01-05 13:00:32",-17.9989333333333,25.4570166666667,5,"6"
"1083","2021-01-05 13:00:32",-17.94805,25.7743333333333,5,"8"
"1085","2021-01-05 14:00:32",-18.4562833333333,25.67735,5,"9"
"1086","2021-01-05 14:00:32",-18.1802,25.4158,5,"10"
"1122","2021-01-05 15:00:32",-17.8832166666667,25.6460833333333,5,"7"
"1127","2021-01-05 16:00:36",-18.0037833333333,25.7774,5,"12"
"112","2021-01-05 17:00:32",-18.3627833333333,25.7942833333333,5,"2"
"1123","2021-01-05 17:00:32",-17.95305,25.7921666666667,5,"8"
"1121","2021-01-05 18:00:32",-17.98795,25.4603833333333,5,"6"
"1125","2021-01-05 18:00:32",-18.4633833333333,25.6669833333333,5,"9"
"1162","2021-01-05 19:00:33",-17.8831833333333,25.6461166666667,5,"7"
"209","2021-01-05 19:00:38",-17.8831166666667,25.8343333333333,5,"14"
"1126","2021-01-05 20:00:32",-18.1802,25.4158,5,"10"
"116","2021-01-05 21:00:32",-18.3710666666667,25.8122166666667,5,"2"
"1163","2021-01-05 21:00:32",-17.95805,25.8210833333333,5,"8"
"1167","2021-01-05 21:00:57",-17.9918,25.7985333333333,5,"12"
"1161","2021-01-05 22:00:32",-17.9953833333333,25.4617666666667,5,"6"
"1165","2021-01-05 22:00:32",-18.482,25.6522833333333,5,"9"
"1202","2021-01-05 23:00:32",-17.8832166666667,25.6460666666667,5,"7"
"1166","2021-01-06 00:00:32",-18.1802,25.4158,6,"10"
"120","2021-01-06 01:00:32",-18.38525,25.8289333333333,6,"2"
"1203","2021-01-06 01:00:32",-17.9452166666667,25.8178,6,"8"
"1207","2021-01-06 01:00:32",-17.9927166666667,25.7933166666667,6,"12"
