"","Date","Distance_to_Bull_1","Distance_to_Bull_2","Distance_to_Bull_3","Distance_to_Bull_4","Distance_to_Bull_5","Distance_to_Bull_6","Distance_to_Bull_7","Distance_to_Bull_8","Distance_to_Bull_9","Distance_to_Bull_10","Distance_to_Bull_12","Distance_to_Bull_13","Distance_to_Bull_14","Distance_to_Bull_15","Distance_to_Zambezi_River","Distance_to_Victoria_Falls","Circle"
"123",2019-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2019-10-01,66.0031264581548,60.084157695448,38.9177371706832,62.0069832090632,46.8583151883102,62.8191313826997,64.102262361959,61.9175396239317,40.2567777813051,0,52.7708983348864,55.8300714100725,NA,NA,56.1131636410423,56.0570096754055,NA
"125",2019-10-02,74.5403394506328,58.2340853446166,36.9552703902391,60.8185825275758,46.4925684969828,62.7055595134445,62.873714678963,60.8543357984385,35.9779810224474,0,51.3698786010238,55.0683571871344,NA,NA,54.6809915772447,54.5464257039283,NA
"126",2019-10-03,81.6063485557058,54.3096731691672,32.7217458528896,58.4942482031182,43.6011974493196,58.1668910917207,58.2142166520003,56.7419861768331,23.2513034680719,0,49.1327247579951,52.02914687531,NA,NA,51.7522907586167,50.3835815331157,NA
"127",2019-10-04,86.2548502587666,54.3323911452103,33.2521623704529,56.7675351711876,43.1438359994398,57.9714042000131,57.6278023040327,56.3409079845135,27.9510778328801,0,50.4401301319723,55.4642149449084,NA,NA,51.6363086868289,50.0923367257804,NA
"128",2019-10-05,83.7439245255991,56.7075846375016,36.2341754758849,59.0293899108553,42.9647937255427,60.9344276313917,60.3371777079098,58.2892491157963,36.8737763016576,0,53.0358988063249,57.6693914387512,NA,NA,53.2348875643467,52.486464594953,NA
"129",2019-10-06,80.0256297818007,59.1339110468765,37.4031912400152,61.254303540245,44.0156594634485,62.0471842759041,62.4217828004078,60.5206174054112,42.3037991838066,0,54.8108928470456,58.2395717926382,NA,NA,53.8915799103882,53.7371516834746,NA
"130",2019-10-07,77.4019436332155,52.7451214054634,30.3165837251983,55.5436298652193,38.9495805289303,55.0268132499067,54.9838495184387,53.700876157516,31.8208057625361,0,45.3564624943066,51.267562997833,NA,NA,48.1951017372792,47.106773195654,NA
"131",2019-10-08,77.9419243680467,49.0476472354744,25.1695058697597,52.0960396168818,38.1159629987733,51.3306927523242,51.3607671845511,50.6454490754622,30.6971390965316,0,40.8318760584481,48.8566776416037,NA,NA,45.1117632120747,43.768773495524,NA
"132",2019-10-09,75.4744826456339,47.8699536363197,26.7397947018419,52.1388104631267,39.0991375259889,50.642463434492,51.3697436420161,51.2734336155793,30.7843615497754,0,40.6797347294386,43.0279339685035,NA,NA,44.8788957156918,43.6137187822581,NA
